Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
derg,red%5:00:01:chromatic:00,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,4,,1,
sruth,river%1:17:00::,a large natural stream of water (larger than a creek),2,,,
mug,slave%1:18:00::,a person who is owned by someone,2,,1,
eirp,goat%1:05:00::,any of numerous agile ruminants related to sheep but having a beard and straight horns,2,,,
clíab,basket%1:06:00::,a container that is usually woven and has handles,2,,,
fích,village%1:14:00::,a community of people smaller than a town,2,,,
cenn,sake%1:07:00::,a reason for wanting something done,2,,,
ailidetu,alternation%1:04:00::,successive change from one thing or state to another and back again,3,,,
místae,monthly%5:00:00:periodic:00,of or occurring or payable every month,2,,,
atrab,possession%1:04:00::,the act of having and controlling property,9,,,
ainmmde,nominal%3:01:00::,pertaining to a noun or to a word group that functions as a noun,2,,,
con condelca,compare%2:31:00::,examine and note the similarities or differences of,2,,,"It is strange that the preverb is repeated for this entry."
condelca,compare%2:31:00::,examine and note the similarities or differences of,2,,,
cosmailigidir,compare%2:31:00::,examine and note the similarities or differences of,2,,,
samlaither,compare%2:31:00::,examine and note the similarities or differences of,2,,,
ifern,hell%1:15:01::,any place of pain and turmoil,2,,,
airchrae,verb%1:10:01::,the word class that serves as the predicate of a sentence,2,,,
airchrae,participle%1:10:00::,a non-finite form of the verb; in English it is used adjectivally and to form compound tenses,2,,,
dínu,lamb%1:05:00::,young sheep,2,,,
tír,country%1:15:00::,the territory occupied by a nation,2,"land, territory, ground",1,
inmedónach,interior%3:00:00::,situated within or suitable for inside a building,2,,,
doróscai de,surpass%2:33:00::,be or do something to a greater degree,3,,,
doecmaing,happen%2:41:00::,"chance to be or do something, without intention or causation",3,,1,
cóir,correct%3:00:00::,free from error; especially conforming to fact or truth,2,,,
immalle,together%4:02:02::,in contact with each other or in proximity,2,,,
superlait,superlative%1:10:00::,an exaggerated expression (usually of praise),4,,,
lainn,eager%3:00:00::,having or showing keen interest or intense desire or impatient expectancy,2,,,
torbae,net_income%1:21:00::,the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses),3,,,
áram,number%1:10:05::,the grammatical category for the forms of nouns and pronouns and verbs that are used depending on the number of entities involved (singular or dual or plural),2,,,
lán,full%5:00:00:nourished:00,filled to satisfaction with food or drink,2,,,
trebar,prudent%3:00:00::,careful and sensible; marked by sound judgment,2,,,
airdíxa,long%3:00:01::,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,3,,,
peneuilt,penult%1:10:00::,the next to last syllable in a word,5,,,
asingaib,exceed%2:42:01::,be greater in scope or size than some standard,4,,,
éicen,need%1:26:00::,a condition requiring relief,2,,,
macc,male_child%1:18:00::,a youthful male person,2,"son",1,
ungae,ounce%1:23:02::,a unit of apothecary weight equal to 480 grains or one twelfth of a troy pound,2,,1,
póc,kiss%1:04:00::,the act of caressing with the lips (or an instance thereof),2,,1,
tindnacol,gift%1:21:00::,something acquired without compensation,2,,,
luib,plant%1:06:01::,buildings for carrying on industrial labor,3,,,
ith,grain%1:17:00::,a relatively small granular particle of a substance,2,,,
biáil,ax%1:06:00::,an edge tool with a heavy bladed head mounted across a handle,2,,,
croicenn,skin%1:08:00::,a natural protective body covering and site of the sense of touch,2,,,
dogní,make%2:30:00::,give certain properties to something,3,,,
ingen,nail%1:08:00::,horny plate covering and protecting part of the dorsal surface of the digits,2,,,
glún,knee%1:08:00::,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,2,,1,
cenn,head%1:08:00::,the upper part of the human body or the front part of the body in animals; contains the face and brains,2,,1,
dris,scrub%1:14:00::,dense vegetation consisting of stunted trees or bushes,2,,,
fochraic,wages%1:11:00::,a recompense for worthy acts or retribution for wrongdoing,3,,,
míl,soldier%1:18:00::,an enlisted man or woman who serves in an army,2,,1,
richis,ember%1:17:00::,a hot fragment of wood or coal that is left from a fire and is glowing or smoldering,2,,,
fairge,sea%1:17:00::,a division of an ocean or a large body of salt water partially enclosed by land,2,,1,
muir,sea%1:17:00::,a division of an ocean or a large body of salt water partially enclosed by land,2,,1,
tír _,land%1:17:01::,material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use),2,"land, territory, ground",1,"Duplicate of earlier entry with underscore for some reason."
tír,land%1:17:01::,material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use),2,"land, territory, ground",1,
emnad,doubling%1:22:00::,increase by a factor of two,4,,,
lóthar,bathtub%1:06:00::,a relatively large open container that you fill with water and use to wash the body,2,,,
consuidigedar,intensify%2:30:01::,"make more intense, stronger, or more marked",2,,,
cucann,kitchen%1:06:00::,a room equipped for preparing meals,3,,,
sochuide,battalion%1:23:00::,a large indefinite quantity,2,,,
caill,wood%1:27:00::,the hard fibrous lignified substance under the bark of trees,3,,,
druimmchlae,ceiling%1:06:00::,the overhead upper surface of a covered space,2,,,
druimmchlí,ceiling%1:06:00::,the overhead upper surface of a covered space,2,,,
senatóir,senator%1:18:00::,a member of a senate,2,,,
óinechaid,rider%1:18:00::,a traveler who actively rides an animal (as a horse or camel),2,,,
sulbaire,cheerfulness%1:07:00::,the quality of being cheerful and dispelling gloom,2,,,
medón,middle%1:28:00::,the point between the beginning and the end of a temporal period or process,2,,,
testimin,time_period%1:28:00::,an amount of time,3,,,
dia,today%1:28:00::,the present time or age,3,,,
arfoím,assume%2:31:00::,take to be the case or to be true; accept without verification or proof,3,,,
ad adcomla,join%2:35:01::,cause to become joined or linked,2,,,"It is strange that the preverb is repeated for this entry."
tuisel,case%1:11:00::,an occurrence of something,15,,,
forbart,increase%1:11:00::,a change resulting in an increase,3,,,
dub,dark%3:00:02::,(used of color) having a dark hue,2,,,
comdelb,conformity%1:07:02::,correspondence in form or appearance,2,,,
ard,tall%3:00:00::,great in vertical dimension; high in stature,2,,1,
amal,so%4:02:05::,"in such a condition or manner, especially as expressed or implied",4,,,
dano,so%4:02:05::,"in such a condition or manner, especially as expressed or implied",2,"therefore, then, accordingly",1,
sís,below%4:02:01::,in or to a place that is lower,4,,1,
tís,below%4:02:01::,in or to a place that is lower,2,,1,
díṡruthigud,derivation%1:09:00::,a line of reasoning that shows how a conclusion follows logically from accepted propositions,2,,,
aslena,pollute%2:30:00::,make impure,3,,,
sacart,priest%1:18:01::,a person who performs religious duties and ceremonies in a non-Christian religion,3,,1,
uilt,ultima%1:10:00::,the last syllable in a word,4,,,
gnáth,usual%3:00:00::,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure,3,,1,
aiccent,accent%1:10:01::,distinctive manner of oral expression,13,,,
dítiu,shelter%1:06:00::,a structure that provides privacy and protection from danger,2,,,
aitrebthaid,inhabitant%1:18:00::,a person who inhabits a particular place,2,,,
gníid,act%2:41:00::,"perform an action, or work out or perform (an action)",3,,,
rann,piece%1:06:05::,an item that is an instance of some type,2,"part",1,
neph corpdae,incorporeal%3:00:00::,without material form or substance,2,,1,"This may be considered a compound rather than a MWE, as here, but I think the treebanks treat all instances of prefix 'neph-' as a separate word."
lán,full%3:00:00::,containing as much or as many as is possible or normal,2,,1,
ith,corn%1:20:02::,the dried grains or kernels or corn used as animal feed or ground for meal,5,,,
dofuisim,generate%2:36:00::,"produce, create",2,,,
articol,article%1:10:01::,(grammar) a determiner that may indicate the specificity of reference of a noun phrase,9,,,
engraicigidir,assume%2:30:00::,"take on a certain form, attribute, or aspect",3,,,
torad,fruit%1:20:00::,the ripened reproductive body of a seed plant,2,,1,
accobur,desire%1:12:00::,the feeling that accompanies an unsatisfied state,3,,,
bacc,sickle%1:06:00::,an edge tool for cutting grass or crops; has a curved blade and a short handle,2,,,
camm derc,squinter%1:18:00::,a person with strabismus,3,,,
salann,salt%1:13:00::,white crystalline form of especially sodium chloride used to season and preserve food,2,,,
lúa líath,spleen%1:08:00::,a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses,2,,,
mall,slow%3:00:01::,not moving quickly; taking a comparatively long time,5,,1,
tegdais,house%1:06:00::,a dwelling that serves as living quarters for one or more families,4,,,
tech,house%1:06:00::,a dwelling that serves as living quarters for one or more families,2,,1,
cosmailius,likeness%1:07:00::,similarity in appearance or character or nature between persons or things,4,,,
íarum,subsequently%4:02:00::,happening at a time subsequent to a reference time,3,"thereafter, then, afterwards",1,
tairmḟorcend,ending%1:10:00::,the end of a word (a suffix or inflectional ending or final morpheme),2,,,
tomus,bill%1:10:04::,a statute in draft before it becomes law,2,,,
sís,below%4:02:00::,(in writing) at a later place,4,,1,
airchinnech,principal%1:18:00::,the educator who has executive authority for a school,2,,,
laithe,day%1:28:00::,time for Earth to make a complete rotation on its axis,2,,,
lá,day%1:28:00::,time for Earth to make a complete rotation on its axis,2,,1,
doadbat,prove%2:31:00::,"establish the validity of something, as by an example, explanation or experiment",4,,,
adroilli,deserve%2:42:00::,be worthy or deserving,2,,,
cochae,buttock%1:08:00::,either of the two large fleshy masses of muscular tissue that form the human rump,2,,,
cuit,respect%1:09:00::,(usually preceded by ‘in’) a detail or point,2,,,
rind,constellation%1:17:00::,a configuration of stars as seen from the earth,3,,,
cáith,chaff%1:27:00::,material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds,2,,,
cucann,provision%1:10:00::,a stipulated condition,3,,,
aicned,nature%1:17:00::,the natural physical world including plants and animals and landscapes etc.,4,,,
loan,fat%1:27:00::,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides),2,,,
sommae,rich%3:00:00::,possessing material wealth,3,,,
glan,pure%3:00:02::,free of extraneous elements of any kind,3,,,
déde,thing%1:10:00::,a statement regarded as an object,3,,,
dliged,law%1:10:00::,legal document setting forth rules governing a particular kind of activity,2,,0,"I don't know if it can refer to a physical legal document itself, however it certainly can refer to a body of understood or traditional rules which may occur in a document."
deithbir,reasonable%3:00:00::,showing reason or sound judgment,2,,,
il,numerous%5:00:00:many:00,amounting to a large indefinite number,2,"many, numerous",1,
ildae,plural%3:00:00::,grammatical number category referring to two or more items or units,2,,,
linn,drink%1:13:04::,a single serving of a beverage,2,,,
buith,beryllium%1:27:00::,a light strong brittle grey toxic bivalent metallic element,2,,,
etarscarad,separation%1:11:00::,coming apart,2,,,
comṡuidigud,compound%1:09:00::,a whole formed by a union of two or more elements or parts,2,,,
rann,parts%1:15:00::,the local environment,2,"part",0,"It means 'a part' or 'a piece', not 'parts' plural. It is unclear how this key sense relates to the suggested definition, perhaps from phrases like 'around these parts'. Either way, the definition is incorrect, it has nothing to do with the local environment."
cedacht,however%4:02:00::,despite anything to the contrary (usually preceding a concession),2,,,
accomol,conjunction%1:10:00::,an uninflected function word that serves to conjoin words or phrases or clauses or sentences,2,"joining, junction, meeting, union, conjunction",1,
comṡuidigud,constitution%1:07:00::,the way in which someone or something is composed,6,,,
togarthaid,vocative%1:10:00::,the case (in some inflected languages) used when the referent of the noun is being addressed,4,,,
rét,thing%1:26:00::,a special situation,2,,,
cóis,cause%1:10:00::,a justification for something existing or happening,2,,,
.i.,even%4:02:00::,used as an intensive especially to indicate something unexpected,4,"i.e., to wit", "namely",0,
dídnad,consolation%1:12:00::,the comfort you feel when consoled in times of disappointment,4,,,
delb,paradigm%1:24:00::,systematic arrangement of all the inflected forms of a word,4,"form, shape, figure, appearance, shaping, fashioning, arranging",1,"This one surprised me, but it seems to be used in this manner in Sg., presumably as an extension of the meaning 'shaping' or 'arranging'."
airdíxa,long%3:00:02::,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,3,,,
saírse,work%1:06:00::,a product produced or accomplished through the effort or activity or agency of a person or thing,2,,,
sreth,series%1:14:00::,similar things placed in order or happening one after another,2,,,
fortórmach,addition%1:06:00::,a component that is added to something to improve it,3,,,
saer,free%3:00:00::,not limited or hampered; not under compulsion or restraint,2,,,
cruthugud,formation%1:04:00::,the act of fabricating something in a particular shape,2,,,
nem,eden%1:15:00::,any place of complete bliss and delight and peace,2,,,
cride,heart%1:09:00::,the locus of feelings and intuitions,2,,,
scríbend,writing%1:10:01::,letters or symbols that are written or imprinted on a surface to represent the sounds or words of a language,3,,1,
biad,food%1:03:00::,any substance that can be metabolized by an animal to give energy and build tissue,2,,1,
anim,soul%1:18:00::,the immaterial part of a person; the actuating cause of an individual life,8,,1,
coitchenn,common%5:00:00:informal:02,being or characteristic of or appropriate to everyday language,3,"common, general, usual, ordinary",1,"I think there are a lot of instances in Sg. where linguistic features are described as 'common' using this word. As the subject matter of Sg. is Latin grammar, this is not unexpected, but the word itself does not necessarily imply anything linguistic as the definition here suggests."
sund,herein%4:02:00::,in this place or thing or document,2,,,
analach,analogy%1:09:00::,an inference that if things agree in some respects they probably agree in others,4,,,
com dlúthad,syneresis%1:22:00::,the separation of liquid from a gel that is caused by contraction (as in cheese making),2,,,
tóbae,conciseness%1:10:00::,terseness and economy in writing and speaking achieved by expressing a great deal in just a few words,3,,,
antepeneuilt,antepenult%1:10:00::,the 3rd syllable of a word counting back from the end,3,,,
fofera,cause%2:36:00::,"give rise to; cause to happen or occur, not always intentionally",2,,,
immfolngai,cause%2:36:00::,"give rise to; cause to happen or occur, not always intentionally",2,,,
sercaid,lover%1:18:00::,a person who loves someone or is loved by someone,2,,,
lam bratt,handkerchief%1:06:00::,a square piece of cloth used for wiping the eyes or nose or as a costume accessory,4,,1,"This may be considered a compound, but I think always (arbitrarily) occurs as two separate words in the treebanks, hence is treated like a MWE."
dílmain,permissible%3:00:00::,that may be permitted especially as according to rule,3,,,
cinnid,specify%2:42:00::,determine the essential quality of,5,,,
aricc,find%2:40:02::,"come upon, as if by accident; meet with",4,,,
aicned,nature%1:18:00::,a causal agent creating and controlling things in the universe,2,,,
gnúis,form%1:09:00::,a perceptual structure,2,"kind, form, species",1,
foditiu,endurance%1:07:00::,the power to withstand hardship or stress,2,,,
dobeir,give%2:32:01::,"convey, as of a compliment, regards, attention, etc.; bestow",3,,,
arfoím,receive%2:40:00::,get something; come into possession of,3,,,
césad,passion%1:12:02::,a feeling of strong sexual desire,2,,,
dofuthraccair sa,wish%2:37:02::,"to hope, to desire or to prefer to have something, or to do something",2,,,
réid,easy%3:00:01::,posing no difficulty; requiring little effort,3,,,
forbae,completion%1:04:00::,a concluding action,2,,,
écintech,indefinite%3:00:00::,vague or not clearly defined or stated,3,,,
caraid,love%2:37:00::,have a great affection or liking for,4,,1,
bethu,life%1:26:02::,the course of existence of an individual; the actions and events that occur in living,2,,,
slond,expression%1:10:02::,expression without words,2,"expressing, mentioning, indicating, signifying",1,"Expression, possibly without words, but not necessarily. In fact, usually with words."
rechtaire,steward%1:18:00::,someone who manages property or other affairs for someone else,2,,,
aimser,tense%1:10:00::,a grammatical category of verbs used to express distinctions of time,3,,1,
medón,midst%1:15:00::,the location of something surrounded by other things,2,,1,
gibnae,hair%1:08:00::,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,2,,,
for forcongair,order%2:32:02::,issue commands or orders for,2,,,"It is strange that the preverb is repeated for this entry."
forngaire,command%1:10:00::,an authoritative direction or instruction to do something,3,,,
foirbthe,perfect%3:00:00::,being complete of its kind and without defect or blemish,4,,,
rolaimethar,make_bold%2:41:00::,"take upon oneself; act presumptuously, without permission",2,,,
foslig,smear%2:35:01::,make a smudge on; soil by smudging,2,,,
bás,death%1:19:00::,the permanent end of all life functions in an organism or part of an organism,4,,1,
dobeir,give%2:40:00::,transfer possession of something concrete or abstract to somebody,6,,1,
dígal,vengeance%1:04:00::,the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life,3,,,
soilse,light%1:26:01::,a condition of spiritual awareness; divine illumination,2,,,
díṡruthigud,derivation%1:22:00::,(descriptive linguistics) the process whereby new words are formed from existing words or bases by affixation,3,,,
adcomla,associate%2:31:00::,make a logical or causal connection,2,,,
aimser,time%1:03:00::,the continuum of experience in which events pass from the future through the present to the past,6,,1,"Presumably this is a possible meaning, i.e. 'all time', but I can't find it attested with this specific context, though it is attested in reference to relatively long periods of time, e.b. 'an epoch', 'an age'."
loc,place%1:09:00::,an abstract mental location,3,,,
laithirt,hangover%1:26:00::,disagreeable aftereffects from the use of drugs (especially alcohol),2,,1,
aicsenugud,causality%1:24:00::,the relation between causes and effects,3,,,
dotét,arrive%2:38:00::,reach a destination; arrive by movement or progress,2,"come",1,"By extension of it's primary meaning, 'to come'"
cocart,correction%1:04:00::,the act of offering an improvement to replace a mistake; setting right,3,,1,
camm,devious%5:00:00:indirect:02,indirect in departing from the accepted or proper way; misleading,5,,,
atárcadach,anaphoric%3:01:00::,relating to anaphora,2,,,
mrechtrad,diverseness%1:07:00::,noticeable heterogeneity,2,"variety, diversity",1,
écsamlus,diverseness%1:07:00::,noticeable heterogeneity,2,,,
aricc,invent%2:36:00::,"come up with (an idea, plan, explanation, theory, or principle) after a mental effort",3,,,
immcomairc,ask%2:32:01::,make a request or demand for something to somebody,2,,,
foillsigud,demonstration%1:04:01::,a public display of group feelings (usually of a political nature),3,,,
foraithmet,remembrance%1:09:00::,the ability to recall past occurrences,2,,,
leth,part%1:09:02::,that which concerns a person with regard to a particular role or situation,4,,0,"I think the it's getting confused because of the common phrase 'rann fo leith' = 'a separate part', where 'rann' means 'part', not 'leth'"
aitrebthaid,owner%1:18:02::,a person who owns something,7,,,
atárcud,epanaphora%1:10:00::,repetition of a word or phrase at the beginning of successive clauses,4,,,
attá,be%2:42:05::,occupy a certain position or area; be somewhere,3,,1,"This is certainly a possible meaning for the substantive verb."
césad,rage%1:26:02::,something that is desired intensely,2,,,
accuis,cause%1:11:00::,events that provide the generative force that is the origin of something,2,,,
tosach,beginning%1:11:00::,the event consisting of the start of something,2,,,
fogní,interpret%2:31:00::,make sense of; assign a meaning to,3,,,
fillid,inflect%2:32:01::,change the form of a word in accordance as required by the grammatical rules of the language,2,,,
scríbaid,write%2:36:00::,produce a literary work,2,,,
etercert,interpretation%1:09:01::,a mental representation of the meaning or significance of something,3,,,
foillsigthech,demonstrative%3:00:00::,given to or marked by the open expression of emotion,2,,,
doairngir,promise%2:32:00::,make a promise or commitment,2,,,
dobeir,understand%2:31:00::,know and comprehend the nature or meaning of,3,,,
asgnin,understand%2:31:00::,know and comprehend the nature or meaning of,2,,,
iress,religion%1:09:00::,a strong belief in a supernatural power or powers that control human destiny,27,,,
doérig,abandon%2:31:00::,leave someone who needs or counts on you; leave in the lurch,2,,,
graif,grave_accent%1:10:00::,a mark (‘) placed above a vowel to indicate pronunciation,4,,,
comaccomol,concurrence%1:07:00::,the temporal property of two things happening at the same time,2,,,
sechtardae,externally%4:02:01::,on or from the outside,2,,,
dub,ink%1:27:01::,a liquid used for printing or writing or drawing,2,,1,
nert,force%1:07:00::,physical energy or intensity,3,,,
locdatu,vicinity%1:15:00::,a surrounding or nearby region,2,,,
crích,boundary%1:15:00::,the line or plane indicating the limit or extent of something,2,,,
aiccent,stress%1:10:01::,the relative prominence of a syllable or musical note (especially with regard to stress or pitch),2,,,
nert,force%1:19:00::,(physics) the influence that produces a change in a physical quantity,2,,,
creitid,believe%2:31:01::,follow a credo; have a faith; be a believer,2,"believe",1,
torbae,profit%1:07:00::,the advantageous quality of being beneficial,3,,,
creitid,believe%2:31:00::,accept as true; take to be true,5,"believe",1,
foirbthetu,perfection%1:26:00::,the state of being without a flaw or defect,5,,1,
airlam,ready%3:00:00::,completely prepared or in condition for immediate action or use or progress,2,,,
soiscélae,gospel%1:10:00::,"the four books in the New Testament (Matthew, Mark, Luke, and John) that tell the story of Christ's life and teachings",6,,1,
olc,evil%1:04:00::,morally objectionable behavior,2,,1,
dígal,punishment%1:04:00::,"the act of punishing, or the infliction of a penalty",5,,,
maith,thing%1:04:00::,an action,2,,,
mesrugud,moderation%1:07:00::,quality of being moderate and avoiding extremes,2,,,
peccad,sin%1:04:00::,an act that is regarded by theologians as a transgression of God's will,4,,1,
cuimrech,alliance%1:24:00::,a connection based on kinship or marriage or common interest,2,,,
maith,good%1:07:01::,moral excellence or admirableness,2,,1,
pridchid,preach%2:32:02::,deliver a sermon,3,,1,
forcetlid,teacher%1:18:00::,a person whose occupation is teaching,4,,,
imdibe,circumcision%1:04:00::,the act of circumcising; surgical removal of the foreskin of males,3,,,
cenn,behalf%1:04:00::,as the agent of or on someone's part (usually expressed as ‘on behalf of’ rather than ‘in behalf of’),2,,0,"The phrase 'dar [bar] cenn' can mean 'on [your] behalf' (lit. above [your] head), but 'cenn' alone just means 'head'."
cosmail,like%3:00:00::,resembling or similar; having the same or some of the same characteristics; often used in combination,2,,,
íarmifoich,search%2:35:00::,"try to locate or discover, or try to establish the existence of",2,,,
fírinne,righteousness%1:07:00::,adhering to moral principles,6,,,
fuil,blood%1:08:00::,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets",2,,1,
dodcad,misfortune%1:11:00::,unnecessary and unforeseen trouble resulting from an unfortunate event,2,,,
íccaid,salvage%2:41:00::,"save from ruin, destruction, or harm",3,,,
cretem _,belief%1:09:00::,any cognitive content held as true,2,"belief, faith, religion, believing",1,"Why is there an underscore?"
ícc,redemption%1:04:01::,(theology) the act of delivering from sin or saving from evil,6,,,
gním,works%1:04:00::,performance of moral or religious acts,2,"deed, act, activity, work",1,"Performance of an act, not plural. Also, the act does not need to be moral or religious."
colinn,human_body%1:08:00::,alternative names for the body of a human being,4,,,
colnide,animal%5:00:00:physical:00,marked by the appetites and passions of the body,2,,,
comalnaithir,carry_through%2:36:00::,put in effect,9,,,
tairngire,promise%1:09:00::,grounds for feeling hopeful about the future,2,,,
tairngire _,promise%1:09:00::,grounds for feeling hopeful about the future,2,"promise, prophecy",1,"Duplicate of another entry with underscore for some reason."
iressach,faithful%3:00:00::,steadfast in affection or allegiance,2,,,
bás,death%1:11:00::,the event of dying or departure from life,4,,1,
lá,day%1:28:03::,a point or period in time,2,,1,"'lá' can be used with the meaning 'when' or 'once' as suggested here, but it seems idiomatic."
coibse,confession%1:04:00::,(Roman Catholic Church) the act of a penitent disclosing their sinfulness before a priest in the sacrament of penance in the hope of absolution,2,,,
foídid,send%2:38:01::,cause to go somewhere,2,,,
is,send%2:38:01::,cause to go somewhere,2,,0,"This is the copula. It does not mean 'send'."
bél,lip%1:08:00::,either of two fleshy folds of tissue that surround the mouth and play a role in speaking,2,,1,
precept,teaching%1:04:00::,the profession of a teacher,5,,,
forcetal,teaching%1:04:00::,the profession of a teacher,2,,,
guidid,pray%2:32:00::,"address a deity, a prophet, a saint or an object of worship; say a prayer",2,,,
for forcain,teach%2:32:00::,impart skills or knowledge to,3,,,"It is strange that the preverb is repeated for this entry."
báeth,simpleton%1:18:00::,a person lacking intelligence or common sense,2,,,
nóib,holy%3:00:00::,belonging to or derived from or associated with a divine power,2,,1,
precept,education%1:04:00::,the activities of educating or instructing; activities that impart knowledge or skill,2,"preaching",0,"Not specific enough. It means 'preaching' or 'teaching' of religious material."
fochaid,agony%1:26:00::,a state of acute pain,3,,,
fochaid,suffering%1:26:01::,misery resulting from affliction,2,,,
is,look%2:39:01::,give a certain impression of being something or having a certain aspect,3,,0,"This is the copula. It does not mean 'to look like/as though'."
féchem,debtor%1:18:00::,a person who owes a creditor; someone who has the obligation of paying a debt,2,,,
caindleóir,candle%1:06:00::,stick of wax with a wick in the middle,2,"candle-bearer",0,"I think it can mean 'candlestick' or perhaps some sort of candle holder or receptacle, but this meaning does not occur in our corpus, and I can only find it attested in later texts."
caindleóir,carrier%1:18:03::,someone whose employment involves carrying something,2,"candle-bearer",1,"The definition is not specific enough. It is a role in the church, but it specifically involves carrying a candle."
laithe,judgment_day%1:28:00::,(New Testament) day at the end of time following Armageddon when God will decree the fates of all individual humans according to the good and evil of their earthly lives,2,,,
ainmnetach,patient%3:00:00::,enduring trying circumstances with even temper or characterized by such endurance,2,,,
grád,order%1:10:03::,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed",4,,,
doairngir,promise%2:32:01::,promise to undertake or give,3,,,
foácaib,leave%2:31:05::,"go and leave behind, either intentionally or by neglect or forgetfulness",2,,,
senchas,narrative%1:10:00::,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program,2,,,
teist,testimony%1:10:01::,an assertion offering firsthand authentication of a fact,2,,,
airitiu,pickings%1:04:00::,the act of someone who picks up or takes something,2,,,
gním,work%1:04:00::,activity directed toward making or doing something,2,"deed, act, activity, work",1,
aingel,angel%1:18:00::,spiritual being attendant upon God,3,,1,
doínecht,manhood%1:26:00::,the state of being a man; manly qualities,2,,,
pecthach,sinner%1:18:00::,a person who sins (without repenting),2,,,
popul,people%1:14:00::,(plural) any group of human beings (men or women or children) collectively,3,,1,
nuiednisse,testament%1:09:00::,a profession of belief,3,,,
cumsanad do,remainder%1:24:00::,something left after other parts have been taken away,3,,,
cumsanad,remainder%1:24:00::,something left after other parts have been taken away,2,,,
sacart,priest%1:18:00::,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,2,,1,
