Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
son,phone%1:10:00::,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language,4,"sound, word, name",1,"The definition may be anachronistic, but is roughly correct."
guth,phone%1:10:00::,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language,4,"voice, sound, word, vowel",1,"The definition may be anachronistic, but is roughly correct."
tórand,figure%1:25:00::,a combination of points and lines and planes that form a visible palpable shape,2,"figure, shape, signification, representation",1,
méit,measure%1:03:00::,how much there is or how many there are of something that you can quantify,4,"amount, measure, magnitude",1,
flesc,throw%1:11:00::,the maximum movement available to a pivoted or reciprocating piece by a cam,2,"stroke, line",0,
delb,form%1:10:00::,the phonological or orthographic sound or appearance of a word that can be used to describe or identify something,3,"form, shape, figure, appearance, shaping, fashioning, arranging",1,
attá,be%2:42:03::,"have the quality of being; (copula, used with an adjective or a predicate noun)",6,,0,"The definition is wrong because this is the substantive verb, not the copula. However, 'have the quality of being' seems correct."
doella,decline%2:32:01::,"inflect for number, gender, case, etc.",4,"turn aside, deviate, bend, go astray, degenerate, decline",1,"It apparently only means 'decline' in the grammatical sense, however, its primary meaning is to 'turn away' or 'deviate' more generally."
ainmmnigud,appellation%1:10:00::,identifying word or words by which someone or something is called and classified or distinguished from others,4,"designation, denomination, naming",1,
dano,indeed%4:02:03::,in truth (often tends to intensify),4,"therefore, then, accordingly",1,
amein,thus%4:02:01::,in the way indicated,3,,1,
airec,invention%1:04:00::,the act of inventing,2,,1,
trá,then%4:02:01::,at that time,8,"then, therefore, so, indeed",1,
didiu,then%4:02:01::,at that time,5,"therefore, hence, then, thereupon",1,
forcomai,keep%2:40:00::,retain possession of,2,,1,
bindius,music%1:09:00::,any agreeable (pleasing and harmonious) sounds,3,"melodiousness, melody",1,
leth,one-half%1:23:00::,one of two equal parts of a divisible whole,2,,1,
il,more%3:00:01::,(comparative of ‘much’ used with mass nouns) a quantifier meaning greater in size or amount or extent or degree; above; more than,3,"many, numerous",0,"It is not a comparitive, it just means 'many'."
domoinethar,think%2:31:01::,judge or regard; look upon; judge,2,,1,
creitid,think%2:31:01::,judge or regard; look upon; judge,2,"believe",0,
fot,length%1:07:00::,the linear extent in space from one end to the other; the longest dimension of something that is fixed in place,4,,1,
